,0
721,1.0
722,1.0
723,0.0
724,
725,1.0
726,0.0
727,1.0
728,1.0
729,
730,1.0
731,0.0
732,
733,1.0
734,1.0
735,0.0
736,1.0
737,
738,1.0
739,0.0
740,1.0
741,1.0
742,
743,1.0
744,1.0
745,
746,1.0
747,2.0
748,1.0
749,
750,
751,1.0
752,1.0
753,0.0
754,1.0
755,1.0
756,1.0
757,1.0
758,1.0
759,1.0
760,1.0
761,1.0
762,1.0
763,
764,1.0
765,1.0
766,1.0
767,1.0
768,1.0
769,1.0
770,1.0
771,1.0
772,1.0
773,1.0
774,1.0
775,1.0
776,1.0
777,
778,1.0
779,1.0
780,0.0
781,1.0
782,
783,
784,0.0
785,1.0
786,1.0
787,1.0
788,0.0
789,1.0
790,2.0
791,0.0
792,1.0
793,1.0
794,0.0
795,1.0
796,0.0
797,1.0
798,1.0
799,
800,1.0
801,1.0
802,0.0
803,1.0
804,1.0
805,0.0
806,0.0
807,
808,
809,1.0
810,1.0
811,1.0
812,1.0
813,1.0
814,0.0
815,1.0
816,1.0
817,0.0
818,1.0
819,1.0
820,1.0
821,1.0
822,1.0
823,1.0
824,0.0
825,1.0
826,0.0
827,1.0
828,1.0
829,1.0
830,1.0
831,1.0
832,1.0
833,0.0
834,0.0
835,0.0
836,1.0
837,1.0
838,1.0
839,1.0
840,1.0
841,0.0
842,0.0
843,1.0
844,1.0
845,1.0
846,1.0
847,
848,0.0
849,1.0
850,0.0
851,1.0
852,0.0
853,1.0
854,1.0
855,1.0
856,1.0
857,1.0
858,1.0
859,1.0
860,1.0
861,0.0
862,1.0
863,
864,1.0
865,1.0
866,1.0
867,1.0
868,0.0
869,0.0
870,
871,1.0
872,
873,0.0
874,1.0
875,
876,0.0
877,1.0
878,0.0
879,1.0
880,1.0
881,
882,0.0
883,0.0
884,0.0
885,0.0
886,1.0
887,0.0
888,1.0
889,1.0
890,1.0
891,1.0
892,1.0
893,
894,0.0
895,
896,1.0
897,1.0
898,
899,0.0
900,1.0
901,1.0
902,1.0
903,1.0
904,1.0
905,1.0
906,1.0
907,1.0
908,1.0
909,1.0
910,1.0
911,1.0
912,1.0
913,1.0
914,1.0
915,
916,
917,1.0
918,0.0
919,1.0
920,1.0
921,1.0
922,1.0
923,1.0
924,1.0
925,0.0
926,0.0
927,
928,1.0
929,1.0
930,1.0
931,1.0
932,1.0
933,1.0
934,1.0
935,1.0
936,1.0
937,
938,1.0
939,1.0
940,1.0
941,1.0
942,0.0
943,0.0
944,0.0
945,0.0
946,1.0
947,
948,1.0
949,1.0
950,1.0
951,
952,1.0
953,1.0
954,0.0
955,1.0
956,1.0
957,1.0
958,
959,
960,0.0
961,1.0
962,1.0
963,1.0
964,1.0
965,1.0
966,1.0
967,1.0
968,
969,1.0
970,1.0
971,1.0
972,1.0
973,1.0
974,1.0
975,1.0
976,1.0
977,
978,1.0
979,1.0
980,1.0
981,1.0
982,1.0
983,1.0
984,1.0
985,0.0
986,1.0
987,1.0
988,1.0
989,1.0
990,1.0
991,
992,1.0
993,1.0
994,1.0
995,1.0
996,1.0
997,1.0
998,0.0
999,
